,Session,Region,driftgrat_true,driftgrat_false,natscene_false,natscene_true
0,737581020,CA,85,8,3,73
1,739448407,CA,84,14,8,63
2,744228101,CA,78,20,0,71
3,746083955,CA,73,19,10,67
4,750749662,CA,68,23,0,78
5,751348571,CA,95,0,8,66
6,754829445,CA,68,27,4,70
7,755434585,CA,90,15,7,57
8,756029989,CA,67,28,10,64
9,757216464,CA,83,2,11,73
10,758798717,CA,76,20,5,68
11,759883607,CA,82,8,12,67
12,760345702,CA,98,1,2,68
13,760693773,CA,90,12,5,62
14,761418226,CA,83,7,0,79
15,762120172,CA,82,16,0,71
16,762602078,CA,73,23,4,69
17,773418906,CA,79,23,2,65
